sport,teams,team,bookmaker,market,odds,fetched_at
basketball_nba,,Under,DraftKings,totals,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,MyBookie.ag,h2h,1.48,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,MyBookie.ag,h2h,2.67,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,MyBookie.ag,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,MyBookie.ag,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetRivers,h2h,1.47,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetRivers,h2h,2.7,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetRivers,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetRivers,spreads,1.88,2026-03-17T19:54:28.289526
basketball_nba,,Over,BetRivers,totals,1.89,2026-03-17T19:54:28.289526
basketball_nba,,Under,BetRivers,totals,1.89,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,LowVig.ag,h2h,1.47,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,LowVig.ag,h2h,2.85,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,LowVig.ag,spreads,1.93,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,LowVig.ag,spreads,1.96,2026-03-17T19:54:28.289526
basketball_nba,,Over,LowVig.ag,totals,1.92,2026-03-17T19:54:28.289526
basketball_nba,,Under,LowVig.ag,totals,1.95,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetOnline.ag,h2h,1.47,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetOnline.ag,h2h,2.83,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetOnline.ag,spreads,1.89,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetOnline.ag,spreads,1.93,2026-03-17T19:54:28.289526
basketball_nba,,Over,BetOnline.ag,totals,1.89,2026-03-17T19:54:28.289526
basketball_nba,,Under,BetOnline.ag,totals,1.93,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetUS,h2h,1.48,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetUS,h2h,2.8,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetUS,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetUS,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Over,BetUS,totals,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Under,BetUS,totals,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetMGM,h2h,1.45,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetMGM,h2h,2.8,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,BetMGM,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,BetMGM,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Over,BetMGM,totals,1.95,2026-03-17T19:54:28.289526
basketball_nba,,Under,BetMGM,totals,1.87,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,Bovada,h2h,1.45,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,Bovada,h2h,2.8,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,Bovada,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,Bovada,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Over,Bovada,totals,1.87,2026-03-17T19:54:28.289526
basketball_nba,,Under,Bovada,totals,1.95,2026-03-17T19:54:28.289526
basketball_nba,,Detroit Pistons,FanDuel,h2h,1.03,2026-03-17T19:54:28.289526
